word	collection	value
kindes	corpus	2348/35690052
peecull	country	20/1780403
peecull	milton	0
peecull	shakespeare	0
peecull	corpus	20/35690052
liampoo	country	50/1780403
liampoo	milton	0
liampoo	shakespeare	0
liampoo	corpus	133/35690052
cambalu	country	205/1780403
cambalu	milton	1/332927
cambalu	shakespeare	0
cambalu	corpus	310/35690052
drink	country	432/1780403
drink	milton	26/332927
drink	shakespeare	19/686328
drink	corpus	3005/35690052
owlde	country	28/1780403
owlde	milton	0
owlde	shakespeare	0
owlde	corpus	72/35690052
page	country	426/1780403
page	milton	29/332927
page	shakespeare	183/686328
page	corpus	1827/35690052
macao	country	201/1780403
macao	milton	0
macao	shakespeare	0
macao	corpus	451/35690052
courten	country	200/1780403
courten	milton	0
courten	shakespeare	0
courten	corpus	1140/35690052
adogeda	country	19/1780403
adogeda	milton	0
adogeda	shakespeare	0
adogeda	corpus	19/35690052
goa	country	413/1780403
goa	milton	0
goa	shakespeare	0
goa	corpus	3505/35690052
hippolito	country	85/1780403
hippolito	milton	0
hippolito	shakespeare	0
hippolito	corpus	310/35690052
limahon	country	36/1780403
limahon	milton	0
limahon	shakespeare	0
limahon	corpus	62/35690052
per	country	410/1780403
per	milton	158/332927
per	shakespeare	7/686328
per	corpus	5685/35690052
