word	collection	value
bassora	corpus	257/35690052
earle	country	583/2678470
earle	milton	1/332927
earle	shakespeare	105/686328
earle	corpus	13497/35690052
toledo	country	579/2678470
toledo	milton	0
toledo	shakespeare	1/686328
toledo	corpus	2876/35690052
spaniard	country	575/2678470
spaniard	milton	3/332927
spaniard	shakespeare	5/686328
spaniard	corpus	5527/35690052
algarve	country	87/2678470
algarve	milton	0
algarve	shakespeare	0
algarve	corpus	144/35690052
themprour	country	50/2678470
themprour	milton	0
themprour	shakespeare	0
themprour	corpus	52/35690052
louthias	country	50/2678470
louthias	milton	0
louthias	shakespeare	0
louthias	corpus	84/35690052
religious	country	570/2678470
religious	milton	39/332927
religious	shakespeare	23/686328
religious	corpus	4853/35690052
interest	country	570/2678470
interest	milton	49/332927
interest	shakespeare	38/686328
interest	corpus	10619/35690052
edward	country	569/2678470
edward	milton	113/332927
edward	shakespeare	137/686328
edward	corpus	12606/35690052
almaid	country	26/2678470
almaid	milton	0
almaid	shakespeare	0
almaid	corpus	26/35690052
flanders	country	565/2678470
flanders	milton	14/332927
flanders	shakespeare	2/686328
flanders	corpus	8680/35690052
lope	country	116/2678470
lope	milton	0
lope	shakespeare	0
lope	corpus	332/35690052
