word	collection	value
coreatis	shakespeare	0
coreatis	corpus	3/35690052
dayro	country	2/24360
dayro	milton	0
dayro	shakespeare	0
dayro	corpus	30/35690052
chos	country	2/24360
chos	milton	9/332927
chos	shakespeare	0
chos	corpus	3/35690052
aizu	country	2/24360
aizu	milton	0
aizu	shakespeare	0
aizu	corpus	3/35690052
morontoboris	country	2/24360
morontoboris	milton	0
morontoboris	shakespeare	0
morontoboris	corpus	4/35690052
pitholaus	country	2/24360
pitholaus	milton	0
pitholaus	shakespeare	0
pitholaus	corpus	5/35690052
bubarta	country	2/24360
bubarta	milton	0
bubarta	shakespeare	0
bubarta	corpus	4/35690052
anthedon	country	2/24360
anthedon	milton	0
anthedon	shakespeare	0
anthedon	corpus	20/35690052
vaytacasses	country	2/24360
vaytacasses	milton	0
vaytacasses	shakespeare	0
vaytacasses	corpus	4/35690052
kicius	country	2/24360
kicius	milton	0
kicius	shakespeare	0
kicius	corpus	4/35690052
cachero	country	2/24360
cachero	milton	0
cachero	shakespeare	0
cachero	corpus	3/35690052
sacalasis	country	2/24360
sacalasis	milton	0
sacalasis	shakespeare	0
sacalasis	corpus	4/35690052
heixts	country	2/24360
heixts	milton	0
heixts	shakespeare	0
heixts	corpus	4/35690052
leaotum	country	2/24360
leaotum	milton	0
leaotum	shakespeare	0
leaotum	corpus	8/35690052
theinkins	country	2/24360
theinkins	milton	0
theinkins	shakespeare	0
theinkins	corpus	4/35690052
